2024-01-27 03:38:27,073: root: INFO: mltrader : Executing the initialize lifecycle method
2024-01-27 03:38:27,796: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-01-27 03:38:27,796: root: INFO: mltrader : Executing the before_market_opens lifecycle method
2024-01-27 03:38:27,797: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-01-27 03:38:27,797: root: INFO: mltrader : Executing the before_starting_trading lifecycle method
2024-01-27 03:38:27,798: root: INFO: [34mmltrader : Executing the on_trading_iteration lifecycle method at 2024-01-27 03:38:27[0m
2024-01-27 03:38:27,801: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,805: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,807: root: INFO: [32mNew market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-01-27 03:38:27,809: root: INFO: [34mmltrader : Trading iteration ended at 2024-01-27 03:38:27[0m
2024-01-27 03:38:27,809: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-27 03:38:27,809: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,809: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,809: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-27 03:38:27,809: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-27 03:38:27,809: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-01-27 03:38:27,809: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-01-27 03:38:27,811: root: INFO: mltrader : [34mSleeping for 86400 seconds[0m
2024-01-27 03:38:27,812: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-01-27 03:38:27,813: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-01-27 03:38:27,813: root: INFO: [34mmltrader : The market is not currently open, skipping this trading iteration[0m
2024-01-27 03:38:27,813: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-27 03:38:27,813: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,813: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,815: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-27 03:38:27,815: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,815: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,815: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-27 03:38:27,815: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,816: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,816: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-27 03:38:27,816: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,816: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,817: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-01-27 03:38:27,817: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-27 03:38:27,817: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,817: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-27 03:38:27,817: root: INFO: Getting historical prices for SPY, 1 bars, 
